                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.60999,                0.46208,                0.94538,                0.55924,                0.62988,                 0.6612,                0.36921,                 1.4669,                  1.527,                 1.5446,             0.00052827,             0.00052827,             0.00052827
                    140,                0.57393,                0.43095,                 0.9325,                0.65801,                0.63214,                0.68301,                 0.3997,                 1.4492,                 1.4223,                 1.4676,             0.00052002,             0.00052002,             0.00052002
                    141,                0.59002,                0.42519,                0.92387,                0.60893,                0.65595,                0.69231,                0.38924,                   1.46,                 1.4197,                 1.4628,             0.00051177,             0.00051177,             0.00051177
                    142,                0.60294,                0.43019,                0.90444,                0.61829,                0.67618,                 0.6916,                0.38285,                 1.4989,                 1.4381,                 1.5026,             0.00050352,             0.00050352,             0.00050352
                    143,                0.59874,                0.43962,                0.91745,                0.62905,                0.72857,                0.67978,                0.37235,                 1.4935,                 1.5089,                 1.5165,             0.00049527,             0.00049527,             0.00049527
                    144,                0.57803,                0.42433,                 0.9086,                0.65999,                0.61324,                0.68686,                0.35816,                 1.5719,                 1.4592,                 1.6101,             0.00048701,             0.00048701,             0.00048701
                    145,                0.58784,                0.41164,                0.91886,                0.64474,                0.60238,                0.66732,                0.34449,                  1.607,                 1.4382,                 1.6636,             0.00047876,             0.00047876,             0.00047876
                    146,                0.57056,                0.41827,                0.90974,                0.71397,                0.60238,                0.68546,                0.34952,                 1.6154,                 1.4003,                 1.6653,             0.00047051,             0.00047051,             0.00047051
                    147,                0.52977,                0.42096,                0.91084,                 0.8061,                0.60238,                0.68015,                 0.3537,                 1.5909,                 1.3587,                 1.6546,             0.00046226,             0.00046226,             0.00046226
                    148,                0.56732,                0.39925,                0.90552,                0.85037,                0.60238,                 0.7028,                0.39214,                 1.5692,                 1.3317,                 1.6553,             0.00045401,             0.00045401,             0.00045401
                    149,                 0.5247,                0.40019,                0.88719,                0.83553,                 0.5954,                0.69068,                0.39572,                 1.5753,                 1.3163,                 1.6799,             0.00044576,             0.00044576,             0.00044576
